Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)
182	708.656	1224.801	-656.796	15.182	21	783.776	1222.130	-710.696	15.194	42	92.8222493478799	74.4395936417678	21.0952380952381
183	532.169	1325.709	26.496	17.913	22	637.913	1242.121	164.502	15.839	73	225.0296787826	102.316951721563	25.936170212766
184	703.393	1007.475	42.072	15.153	22	779.039	870.740	120.192	15.502	78	174.70406961774	61.5011421801116	44.1212121212121
185	362.466	767.007	-470.664	18.472	22	162.370	749.317	-516.768	19.932	118	237.163914685603	48.3423019140789	61.6326530612245
186	362.466	767.007	-470.664	18.472	22	162.370	749.317	-516.768	19.932	118	237.163914685603	57.4445515595399	61.4203389830508
187	585.747	1796.340	-39.462	10.915	22	808.229	1686.823	37.590	18.518	118	278.139039375993	86.8286790569054	21.8826879271071
188	324.732	1367.744	-616.240	15.867	22	325.018	1486.122	-708.409	14.609	65	217.474348153983	86.2300658319196	20.2
189	532.794	939.525	-25.674	19.511	23	570.604	925.536	9.150	16.309	47	67.4651287851732	45.9223941352165	52.75
190	858.005	1003.302	-554.224	17.267	23	924.137	1015.562	-642.853	21.066	118	111.726937468097	26.6753142781881	35.704
191	351.089	1289.096	-21.276	11.345	23	623.450	1389.993	163.248	14.051	91	355.156282608094	89.7567212046117	24.1764705882353
192	684.488	1406.313	151.158	11.490	23	720.677	1428.428	188.574	13.603	49	70.0963954636756	45.9085152240037	9.23076923076923
193	658.768	1304.157	84.672	18.673	23	652.766	1244.571	99.930	17.866	43	61.8006631356008	60.7541505359711	21.9
194	280.482	1031.929	-130.518	13.498	23	228.880	949.309	-28.398	19.192	91	141.30813148931	44.0274987869796	40.1029411764706
195	280.482	1031.929	-130.518	13.498	23	228.880	949.309	-28.398	19.192	91	141.30813148931	44.0274987869796	40.1029411764706
196	412.646	1558.671	-57.408	16.658	23	535.373	1658.689	120.006	16.688	79	286.300210270618	106.815584340425	7.58928571428571
197	751.364	1200.496	79.056	16.876	24	892.526	1209.098	45.684	14.237	118	231.622946825223	119.788307998567	27.9559748427673
198	696.162	994.650	-5.928	15.332	24	785.281	993.058	87.606	19.247	118	137.463661307271	131.153088811471	57.8290073658365
199	268.341	1234.926	-519.036	14.279	25	145.067	1331.552	-440.838	14.265	51	190.961533367325	139.453476344476	5.38461538461539
200	621.961	896.241	-5.244	18.743	25	686.426	790.053	139.446	18.516	118	232.259957547572	94.9783022840983	47.7620396600567
201	286.578	1087.782	-138.882	17.700	25	240.416	1062.925	-5.412	20.915	118	190.392536949325	102.430089961887	25.8692607003891
202	265.888	988.863	-148.200	18.153	25	144.302	965.726	-165.528	15.919	72	131.645603409305	61.3017948018649	22.1063829787234
203	368.315	1199.118	-567.953	14.960	25	415.073	1254.343	-731.792	19.107	61	179.60654634506	87.0721651948012	31.9166666666667
204	554.432	1344.322	-695.020	12.461	25	852.755	1505.148	-766.606	18.499	118	403.002073317247	346.559900442164	27.1597000638162
205	154.531	1449.147	-427.218	14.910	25	455.895	1422.202	-797.482	19.803	97	640.667236469917	116.429350854534	18.4469628286491
206	421.036	1321.868	1.926	14.039	26	514.401	1219.639	131.616	15.965	88	226.158040389901	65.7040889941932	29.758064516129
207	279.115	1345.422	-92.796	16.027	26	275.526	1465.573	-0.744	16.294	89	277.149503340706	166.817214487583	9.36507936507937
208	543.889	1140.114	-651.763	19.708	26	595.604	1101.324	-777.623	19.324	57	141.491501246541	69.3174198074023	56.5483870967742
209	305.058	979.344	-108.774	14.696	26	341.284	894.653	38.490	15.581	115	217.615957450275	46.4144763532633	58.4606741573034
210	510.058	1415.515	43.812	13.828	26	714.376	1302.690	143.724	17.793	118	281.126872719418	93.6578139473895	28.4761235955056
211	337.871	1280.337	-561.759	17.606	27	436.186	1392.546	-776.968	17.981	74	367.417441820608	99.7105060862577	18.8315018315018
212	515.263	1058.220	-610.082	17.933	27	476.787	1103.538	-746.964	17.086	54	149.234063216144	91.6974594504578	45.2592592592593
213	474.086	881.595	-27.714	17.889	28	293.348	828.522	60.024	18.845	118	244.694326066217	72.9341703366775	59.849234393404
214	474.086	881.595	-27.714	17.889	28	293.348	828.522	60.024	18.845	118	244.694326066217	79.7214488520087	59.9929161747344
