Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
162	639.020	462.989	295.225	10.000	0	558.908	442.718	275.263	10.000	120	85.0136896564312	10.4648332947604	81.425	aFHF
163	643.475	449.502	299.512	10.000	0	568.079	442.652	267.031	10.000	120	82.3801837640583	10.3860979741178	81.0416666666667	aFHF
164	628.449	436.645	243.152	10.000	0	601.669	424.696	254.153	10.000	120	31.320424677836	9.19678935644457	85.0583333333333	aFHF
165	649.107	444.207	283.808	10.000	0	584.092	408.246	267.985	10.000	120	75.9638800680955	9.83679829889372	80.2166666666667	aFHF
166	650.924	439.802	275.781	10.000	0	586.894	435.337	263.377	10.000	120	65.373055160364	9.64396238197134	83.9083333333333	aFHF
167	653.169	441.727	276.180	10.000	0	587.335	420.053	266.454	10.000	120	69.9890913500096	9.40596912108719	81.75	aFHF
168	648.049	448.645	270.971	10.000	0	592.394	430.712	258.436	10.000	120	59.8013188734161	8.85054655420615	85.0916666666667	aFHF
169	649.113	436.657	262.490	10.000	0	577.803	411.964	260.415	10.000	120	75.4928206785255	9.09076970079082	78.3083333333333	aFHF
170	638.558	439.704	253.914	10.000	0	597.046	427.912	265.335	10.000	120	44.6400789537832	8.62092554508107	81.6	aFHF
171	639.514	446.169	253.597	10.000	0	573.103	430.233	256.207	10.000	120	68.3460980378544	10.2138760935936	86.3416666666667	aFHF
172	656.076	459.578	259.840	10.000	0	585.492	433.661	302.386	10.000	120	86.3941783976213	9.4003439718604	81.6083333333333	aFHF
173	641.389	450.596	245.863	10.000	0	598.874	419.633	262.345	10.000	120	55.1170474354351	8.86052012796488	84.2083333333333	aFHF
174	644.093	456.452	243.372	10.000	0	607.614	439.283	245.486	10.000	120	41.7707646566351	6.74331509563598	87.75	aFHF
175	585.472	621.045	89.319	10.000	52	582.330	624.293	130.323	10.000	120	41.2522688345744	8.79384192075192	99.2058823529412	aFHF
176	578.943	645.630	119.097	10.000	29	566.090	637.874	152.622	10.000	120	36.7325573572002	7.78080021579919	92.1978021978022	aFHF
177	368.938	237.076	441.576	10.000	0	386.386	321.206	338.518	10.000	120	134.176156480949	13.8343565553009	45.925	aFHF
178	601.680	554.076	160.174	10.000	24	592.302	500.422	226.837	10.000	120	86.0851564963438	11.4228105608032	122.770833333333	aFHF
179	175.136	637.364	141.638	10.000	45	177.684	636.881	194.242	10.000	120	52.9785510088753	8.00233891137295	70.1733333333333	aFHF
180	175.570	599.568	136.849	10.000	45	156.753	617.031	157.980	10.000	120	33.2498875035691	9.41016939879301	73.4933333333333	aFHF
181	187.176	582.976	137.673	10.000	45	161.068	599.109	167.102	10.000	120	42.520199834902	10.0336177011775	84.4533333333333	aFHF
182	174.711	587.271	131.975	10.000	45	142.298	607.431	159.568	10.000	120	48.8717338857545	10.9183912209883	77.6666666666667	aFHF
183	570.151	612.653	138.734	10.000	16	577.685	580.871	221.585	10.000	120	89.0569754763769	10.5754975435543	119.134615384615	aFHF
184	608.097	560.545	146.822	10.000	31	601.173	523.240	212.586	10.000	120	75.9243603660907	10.8030191272287	128.325842696629	aFHF
