Tracks	Begin X	Begin Y	Begin Z	Begin R	Begin T	End X	End Y	End Z	Begin R	End T	Peak Displacement	Avg Sliding Velocity (micron/hr)	Avg Density (cells per 12 radii)	Region
111	241.436	333.012	296.958	10.000	0	272.097	360.242	287.665	10.000	148	42.0467557607005	7.05427408729425	123.209459459459	EM
112	240.744	332.521	296.833	10.000	0	279.683	364.075	282.735	10.000	148	52.0639437710975	7.34466043954769	116.898648648649	EM
113	121.746	209.496	155.047	10.000	55	109.612	236.239	133.080	10.000	148	36.6738475483552	5.63783538671702	219.94623655914	EM
114	262.900	304.630	295.562	10.000	0	301.477	326.193	268.135	10.000	148	52.0133466237273	6.85034784501883	141.290540540541	EM
115	256.079	303.950	305.772	10.000	0	290.809	335.335	272.627	10.000	148	57.3566225470085	7.06583260000255	144.662162162162	EM
116	95.534	239.656	189.094	10.000	40	83.981	242.474	199.057	10.000	148	15.5136811234471	4.82094122085133	196.638888888889	EM
117	247.879	325.532	322.840	10.000	0	277.061	349.828	286.025	10.000	148	52.8888359202582	6.96190738162752	126.945945945946	EM
118	91.087	241.593	189.849	10.000	40	86.702	261.081	181.677	10.000	148	21.67712621636	5.22409638158608	191.12962962963	EM
119	242.583	318.297	329.391	10.000	0	274.209	336.822	291.671	10.000	148	53.9639018696758	6.96060402149754	145.189189189189	EM
120	232.864	329.266	322.719	10.000	0	269.162	322.589	315.411	10.000	148	37.623582989928	6.69871662625248	148.128378378378	EM
121	229.393	312.427	310.743	10.000	0	286.959	314.795	291.440	10.000	148	60.7623040132614	6.43691411598156	158.5	EM
122	229.039	303.762	307.797	10.000	0	288.408	307.206	297.028	10.000	148	60.4360046495465	6.99984340391824	164.310810810811	EM
123	222.961	294.673	310.321	10.000	0	301.352	298.967	281.307	10.000	148	83.6982646952731	8.75073579363446	176.364864864865	EM
124	220.052	300.213	295.412	10.000	0	300.657	267.064	281.212	10.000	148	88.3043726323901	8.69323084698484	181.898648648649	EM
125	230.889	379.831	291.603	10.000	0	258.498	362.087	290.816	10.000	148	32.8287341516544	5.38048759224332	101.966216216216	EM
126	223.441	329.767	304.767	10.000	0	272.478	332.683	290.381	10.000	148	51.1867895164368	8.46195449288928	149.128378378378	EM
127	227.015	327.027	297.192	10.000	0	264.510	323.319	304.820	10.000	148	38.4423031698154	6.40714894220442	162.358108108108	EM
128	169.550	262.213	327.102	10.000	0	239.581	244.684	347.765	10.000	148	76.1265031641412	7.42662881756543	225.331081081081	EM
129	173.440	259.446	322.377	10.000	0	244.165	243.825	343.718	10.000	148	76.5448053168861	7.74367938288873	223.810810810811	EM
